name,location,service,state,city,profile_url,services_offered
TARUN KANDHARI & CO LLP,"Professional City:
                                            Ahmedabad
                                            Bangalore
                                            Chandigarh
                                            Chandigarh
                                            Chennai
                                            Chennai
                                            Cuttack
                                            Delhi
                                            Faridabad
                                            FIROZABAD
                                            Kolkata
                                            Mumbai, NEW DELHI, DELHI,   INDIA, INDIA",Foreign Trade,Delhi,Delhi,https://caconnect.icai.org/firmProfile/2698/2,"Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Taxes FEMA Foreign Trade Goods and Services Tax Indirect Tax International Tax MSME Advisory Payroll Services Startup advisory Valuation"
S V A R A J AND ASSOCIATES,"Professional City:
                                            Delhi, DELHI, DELHI,   INDIA, INDIA",Foreign Trade,Delhi,Delhi,https://caconnect.icai.org/firmProfile/279/2,"Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Inbound / Outbound Services Indirect Tax Payroll Services Startup advisory Valuation"
MANISH I KUMAR & ASSOCIATES,"Professional City:
                                            Delhi, DELHI, DELHI,   INDIA, INDIA",Foreign Trade,Delhi,Delhi,https://caconnect.icai.org/firmProfile/362/2,"Arbitration Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Inbound / Outbound Services Indirect Tax Information Technology Services International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
GUPTA GOEL & COMPANY,"Professional City:
                                            Nagpur
                                            NEW DELHI, NEW DELHI, DELHI,   INDIA, INDIA",Foreign Trade,Delhi,Delhi,https://caconnect.icai.org/firmProfile/2208/2,Audit Book-keeping Business Advisory Certification Corporate Laws and LLP Direct Tax FEMA Foreign Trade Goods and Service Tax International Tax
P V A R & ASSOCIATES,"Professional City:
                                            Delhi
                                            Durg-Bhilai Nagar
                                            Golaghat
                                            Jaipur, NEW DELHI, DELHI,   INDIA, INDIA",Foreign Trade,Delhi,Delhi,https://caconnect.icai.org/firmProfile/1040/2,"Arbitration Audit Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Inbound / Outbound Services Indirect Tax International Tax MSME Advisory RERA Startup advisory"
V M C A & ASSOCIATES,"Professional City:
                                            Delhi, NEW DELHI, DELHI,   INDIA, INDIA",Foreign Trade,Delhi,Delhi,https://caconnect.icai.org/firmProfile/1099/2,"Arbitration Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Goods and Service Tax Indirect Tax International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
CA. ASHISH NARENDRABHAI  BODA,"Professional City:
                                            Ahmedabad, AMRELI, GUJARAT,   INDIA, INDIA",Foreign Trade,Gujarat,Ahmedabad,https://caconnect.icai.org/memberProfile/423/1,"Arbitration Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Inbound / Outbound Services Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
CA. JAGDISHKUMAR MOHANBHAI  PATEL,"Professional City:
                                            Ahmedabad, AHMEDABAD, GUJARAT,   INDIA, INDIA",Foreign Trade,Gujarat,Ahmedabad,https://caconnect.icai.org/memberProfile/336/1,"Arbitration Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Inbound / Outbound Services Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
JAIN & DESAI,"Professional City:
                                            Ahmedabad
                                            Kolkata
                                            Pipariya
                                            ROURKELA
                                            Salem
                                            Surat, AHMEDABAD, GUJARAT,   INDIA, INDIA",Foreign Trade,Gujarat,Ahmedabad,https://caconnect.icai.org/firmProfile/12/2,"Arbitration Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Inbound / Outbound Services Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
DHANANI & JAIN,"Professional City:
                                            Ahmedabad
                                            Mumbai
                                            Surat
                                            Vadodara, SURAT, GUJARAT,   INDIA, INDIA",Foreign Trade,Gujarat,Ahmedabad,https://caconnect.icai.org/firmProfile/307/2,"Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
